condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
quarantine,hgb,20260803,0.5089970897110557,0.11554882389389338,0.13431091681555832,160,ok,diabetes_130us,0.2,naive
repair,logreg,20260803,0.6703102872955251,0.21900428995835383,0.09544174899517015,76324,ok,diabetes_130us,0.2,naive
repair,hgb,20260803,0.6708035246484736,0.21820979096702664,0.09536934570804637,76324,ok,diabetes_130us,0.2,naive
clean,logreg,20260804,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.2,naive
clean,hgb,20260804,0.6810637529732195,0.22999632587116553,0.09396931193123664,76324,ok,diabetes_130us,0.2,naive
corrupted,logreg,20260804,0.6703312862318336,0.21952612380921244,0.09546469004244951,76324,ok,diabetes_130us,0.2,naive
corrupted,hgb,20260804,0.6749273806914851,0.22891881828823762,0.0950814512596047,76324,ok,diabetes_130us,0.2,naive
quarantine,logreg,20260804,0.5239755102067531,0.11844699692571653,0.12750381085141846,155,ok,diabetes_130us,0.2,naive
quarantine,hgb,20260804,0.5200016387741315,0.11697579759104845,0.12907508878297042,155,ok,diabetes_130us,0.2,naive
repair,logreg,20260804,0.6703338029874653,0.21865531548468725,0.09539448380326683,76324,ok,diabetes_130us,0.2,naive
repair,hgb,20260804,0.6729457278244572,0.2225781880122235,0.0952134125126618,76324,ok,diabetes_130us,0.2,naive
clean,logreg,20260805,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.2,naive
clean,hgb,20260805,0.6809782534080573,0.23183903841902964,0.09391653344074583,76324,ok,diabetes_130us,0.2,naive
corrupted,logreg,20260805,0.668867765560613,0.21923398211874368,0.09541329829813056,76324,ok,diabetes_130us,0.2,naive
corrupted,hgb,20260805,0.677026986025243,0.22893168562811317,0.09493975844552865,76324,ok,diabetes_130us,0.2,naive
quarantine,logreg,20260805,0.574069435059422,0.15934059978637072,0.12446769393013091,154,ok,diabetes_130us,0.2,naive
quarantine,hgb,20260805,0.5681109732462332,0.13984345384332864,0.1495857210381164,154,ok,diabetes_130us,0.2,naive
repair,logreg,20260805,0.6697845736655698,0.21939808319479664,0.095313605265494,76324,ok,diabetes_130us,0.2,naive
repair,hgb,20260805,0.6729158695966522,0.224254728368706,0.09539075436760287,76324,ok,diabetes_130us,0.2,naive
clean,logreg,20260806,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.2,naive
clean,hgb,20260806,0.6813541304720715,0.22950555764166364,0.09404821873493463,76324,ok,diabetes_130us,0.2,naive
corrupted,logreg,20260806,0.6698773196169164,0.21894799219661662,0.09548330973746795,76324,ok,diabetes_130us,0.2,naive
corrupted,hgb,20260806,0.6785444572103779,0.22565369584636608,0.0950634511046846,76324,ok,diabetes_130us,0.2,naive
quarantine,logreg,20260806,0.5036357145358314,0.12268921741042862,0.12393640922792132,183,ok,diabetes_130us,0.2,naive
